ISO Code,CountryName,Year,Preterm,Intrapartum,Sepsis,Tetanus,Congenital,Pneumonia,Diarrhoea,Malaria,AIDS,Measles,Injury,Meningitis,Other,Total,Pneumonia (Newborn),Preterm (Newborn),Intrapartum (Newborn),Sepsis (Newborn),Tetanus (Newborn),Congenital (Newborn),Diarrhoea (Newborn),Other (Newborn),"Pneumonia 
(1-59 months)","Diarrhoea
(1-59 months)","Malaria
(1-59 months)","AIDS
(1-59 months)","Measles
(1-59 months)","Injuries 
(1-59 months)","Meningitis 
(1-59 months)","Other 
(1-59 months)",Total,Pneumonia ,Diarrhoea ,Malaria ,AIDS ,Measles ,Injuries ,Meningitis ,Other ,Total,Pneumonia ,Preterm ,Intrapartum ,Sepsis ,Tetanus ,Congenital ,Diarrhoea ,Other ,Total
KHM,Cambodia,2016,18.1,13.1,8.9,0.2,10.1,16.4,6.2,0.3,0.2,0.2,7.7,1.8,16.9,100,2.9,16.5,12.3,8.9,0.2,8.2,0.2,3.9,13.5,6,0.3,0.2,0.2,7.1,1.8,17.8,100,28.8,12.8,0.6,0.4,0.4,15.2,3.8,38,100,5.5,31.1,23.1,16.7,0.3,15.5,0.3,7.4,100
CMR,Cameroon,2016,11.2,10.9,5.1,0.2,6.6,15.8,10.4,10.1,2.8,0,6.9,1.7,18.3,100,2.2,8.9,9.6,5.1,0.2,2.6,0.1,2.1,13.6,10.3,10.1,2.8,0,6.6,1.7,24.2,100,19.6,14.8,14.6,4,0,9.5,2.4,35,100,7.2,28.8,31.1,16.4,0.7,8.5,0.4,6.8,100
CAN,Canada,2016,28.7,9.5,2.8,0,23.7,1.8,0.3,0,0,0,6.4,0.7,26.1,100,0.2,27.7,8.3,2.8,0,14.3,0,12.3,1.6,0.3,0,0,0,6.2,0.7,25.7,100,4.7,0.9,0,0,0,18,2.1,74.3,100,0.3,42.3,12.6,4.2,0,21.8,0,18.7,100
CPV,Cape Verde,2016,19.7,7.8,4.9,0.4,22.1,13,4.9,0,0.6,0,6.5,1.3,18.9,100,2.2,18.1,7.2,4.9,0.4,10.4,0,4.7,10.8,4.9,0,0.6,0,6,1.3,28.6,100,20.7,9.4,0,1.2,0,11.5,2.5,54.8,100,4.6,37.8,15.1,10.2,0.8,21.7,0,9.8,100
CAF,Central African Republic,2016,12,11.2,5.8,1.2,4.1,16.5,10.5,13.9,1.5,2.9,4.5,3.3,12.7,100,2.5,10.4,10.3,5.8,1.2,1.9,0.3,1.7,14,10.2,13.9,1.5,2.9,4.3,3.3,16,100,21.3,15.4,21,2.2,4.4,6.5,5,24.2,100,7.3,30.5,30.2,17.2,3.5,5.5,0.9,5,100
TCD,Chad,2016,9.7,10.5,5.1,0.7,4.5,24.4,13.9,6.3,0.5,0.2,5.9,3.8,14.6,100,2.4,7.5,9.3,5.1,0.7,1.7,0.2,1.7,21.9,13.6,6.3,0.5,0.2,5.6,3.8,19.4,100,30.7,19.1,8.9,0.7,0.3,7.9,5.3,27.2,100,8.5,26.2,32.6,17.9,2.3,5.8,0.8,5.8,100
CHL,Chile,2016,26.7,5.1,3.4,0,39.4,3.3,0.3,0,0,0,5.9,0.7,15.4,100,0.9,24.7,4.4,3.4,0,25.5,0,6.2,2.4,0.3,0,0,0,5.6,0.7,26.1,100,6.9,0.7,0,0.1,0,16.1,1.9,74.3,100,1.3,38,6.7,5.2,0,39.2,0,9.6,100
CHN,China,2016,17,14.3,1.5,0,19.9,12.4,3,0,0.1,0.5,14.9,1.2,15.2,100,3,15.9,14.1,1.3,0,9.2,0.3,7.5,9.5,2.7,0,0.1,0.5,12.4,1.2,22.6,100,19.4,5.6,0,0.2,0.9,25.3,2.4,46.2,100,5.8,31.1,27.5,2.5,0,18,0.5,14.6,100
COL,Colombia,2016,21.2,5.9,8.4,0,25.1,9.9,1.8,0.1,0.1,0,6.1,1,20.3,100,2.1,18.8,4.8,8.4,0,15.1,0,5.9,7.8,1.8,0.1,0.1,0,5.7,1,28.2,100,17.4,4,0.2,0.3,0,12.8,2.3,63.1,100,3.9,34.1,8.7,15.3,0,27.3,0,10.7,100
COM,Comoros,2016,19.3,11.9,7.8,0.5,6.5,18.2,9.2,0.1,0,0,6.3,2.6,17.7,100,2.9,17.3,10.8,7.8,0.5,3.5,0.4,2.4,15.3,8.8,0.1,0,0,6,2.6,21.6,100,28.1,16.1,0.1,0.1,0,11.1,4.8,39.7,100,6.4,38,23.6,17,1,7.7,0.8,5.3,100
COG,Congo,2016,14.7,10.7,5.7,0.2,8.2,13.7,6.8,6.9,4.9,3.8,6.8,1,16.6,100,2.4,12.7,9.7,5.7,0.2,4.4,0.1,2.2,11.3,6.6,6.9,4.9,3.8,6.4,1,21.7,100,18.1,10.6,11,7.8,6,10.3,1.6,34.7,100,6.4,33.9,25.8,15.3,0.5,11.9,0.4,5.8,100
COD,Congo DR,2016,11.9,10.6,5.1,0.3,5.1,16.1,10.8,12.8,0.5,0.2,6.1,2.5,17.9,100,2.2,10,9.5,5.1,0.3,2.3,0.1,2,13.9,10.7,12.8,0.5,0.2,5.7,2.5,22.2,100,20.4,15.6,18.7,0.7,0.3,8.3,3.6,32.4,100,6.9,31.6,30.1,16.3,0.9,7.4,0.4,6.3,100
COK,Cook Islands,2016,24.5,10.3,2.9,0,29.4,8.3,1.2,0,0,0,6.3,1.2,15.9,100,0.6,19.2,6.9,2.9,0,14.4,0,6,7.6,1.2,0,0,0,5.8,1.2,34.1,100,15.3,2.4,0,0,0,11.7,2.4,68.2,100,1.3,38.3,13.8,5.8,0,28.8,0,11.9,100
CRI,Costa Rica,2016,28.7,7.2,1.4,0,38.5,4.9,1.3,0,0,0,4.3,0.9,12.8,100,1.8,26.5,6.8,1.4,0,25.4,0,2.6,3.1,1.3,0,0,0,4,0.8,26.2,100,8.8,3.5,0,0,0,11.3,2.4,74,100,2.8,41,10.5,2.2,0,39.4,0,4.1,100
CIV,Cote d Ivoire,2016,14.1,12.3,8.9,0.5,5.4,17.1,9.5,7.7,2.2,0.4,5.4,2.1,14.6,100,2.8,12.3,11.3,8.9,0.5,2.7,0.3,2.4,14.4,9.2,7.7,2.1,0.4,5,2.1,18.1,100,24.4,15.6,13.1,3.6,0.6,8.5,3.5,30.6,100,6.7,30.1,27.6,21.7,1.1,6.5,0.6,5.7,100
HRV,Croatia,2016,11.5,8.2,2.6,0,32.2,4,0.3,0,0,0,3.1,1.5,36.8,100,0.8,9.6,5.4,2.6,0,16.7,0,25.5,3.2,0.3,0,0,0,3,1.5,31.6,100,8,0.6,0,0,0,7.5,3.7,80.1,100,1.3,15.9,8.9,4.2,0,27.5,0,42.1,100
CUB,Cuba,2016,16.1,7.3,6.2,0,21.6,11.9,1.2,0,0.1,0,8.7,2.2,24.6,100,3.9,12.8,5.6,6.2,0,8.5,0,6.4,7.9,1.2,0,0.1,0,7.9,2.2,37.2,100,14.1,2.2,0,0.2,0,14,3.9,65.7,100,9.1,29.4,12.9,14.3,0,19.6,0,14.7,100
CYP,Cyprus,2016,18.5,3.2,1.2,0,17.1,1.2,0,0,0,0,7.3,2.6,48.8,100,0,12.6,0.6,1.2,0,9.1,0,31.1,1.2,0,0,0,0,6.8,2.6,34.9,100,2.6,0,0,0,0,14.9,5.8,76.7,100,0,23.1,1.1,2.2,0,16.6,0,57,100
CZE,Czech Republic,2016,26,8.9,4,0,22.9,6.2,0.7,0,0,0,6.9,1.3,23.2,100,1.1,19.8,7.6,4,0,10.1,0,7.2,5.2,0.7,0,0,0,5.9,1.2,37.3,100,10.3,1.4,0,0,0,11.8,2.3,74.2,100,2.1,39.9,15.3,8,0,20.3,0,14.5,100
DNK,Denmark,2016,43.6,8.1,4.4,0,23.5,1.5,0,0,0,0,2.9,1,15,100,0.3,40.1,7.3,4.4,0,14,0,7.1,1.3,0,0,0,0,2.7,0.9,22,100,4.7,0,0,0,0,10,3.2,82.1,100,0.4,54.8,10,6,0,19.1,0,9.8,100
DJI,Djibouti,2016,20.8,13.6,7.5,0.6,7.9,14,7.7,0.1,2.3,0.1,6.5,1.1,17.6,100,3.1,19,12.7,7.5,0.6,5.1,0.4,3.7,10.9,7.3,0.1,2.2,0.1,5.8,1.1,20.4,100,22.7,15.2,0.3,4.7,0.2,12.1,2.4,42.4,100,5.9,36.6,24.4,14.4,1.1,9.8,0.8,7.1,100
DMA,Dominica,2016,14,35.5,9.2,0,18.4,5.6,0.7,0,0,0,1.6,0,14.9,100,0,12,35.5,9.2,0,9.9,0,6.3,5.6,0.7,0,0,0,1.6,0,19.1,100,20.7,2.6,0,0,0,5.9,0,70.7,100,0,16.5,48.7,12.6,0,13.6,0,8.6,100
DOM,Dominican Republic,2016,25.7,15.3,9.2,0,16.4,11.2,3.7,0,0.6,0,6.4,0.6,10.8,100,3.7,23.9,14.7,9.2,0,11.3,0.2,4.6,7.5,3.4,0,0.6,0,4,0.6,16,100,23.4,10.6,0,1.8,0,12.5,2,49.7,100,5.4,35.3,21.7,13.6,0,16.7,0.4,6.8,100
ECU,Ecuador,2016,25.4,6.6,4.8,0,24,12.4,1.5,0,0.1,0,8.8,0.8,15.6,100,1.6,22.8,6,4.8,0,13.5,0,5.1,10.8,1.5,0,0.1,0,8,0.8,25.1,100,23.3,3.2,0,0.3,0,17.3,1.7,54.2,100,3,42.4,11.1,9,0,25.1,0,9.4,100
EGY,Egypt,2016,23.7,10.8,4.5,0.8,21.7,10.6,4.7,0,0,0.2,4.5,1.2,17.2,100,2.4,21.2,10.2,4.5,0.8,12,0,5.2,8.2,4.7,0,0,0.2,3.9,1.2,25.6,100,18.6,10.8,0,0.1,0.5,8.9,2.7,58.4,100,4.3,37.6,18,8,1.5,21.4,0,9.2,100
SLV,El Salvador,2016,20.3,7.8,3.9,0.6,24.9,11.2,4.6,0,1.1,0,7,1.2,17.3,100,2.5,18.3,7.1,3.9,0.6,12.3,0,5.2,8.7,4.6,0,1.1,0,6.5,1.2,27.9,100,17.4,9.3,0,2.2,0,13,2.4,55.7,100,4.9,36.7,14.3,7.8,1.2,24.6,0,10.4,100
GNQ,Equatorial Guinea,2016,12.4,11.4,3.6,0.6,5.8,14.3,6.4,17.6,2.5,9.1,4,0.9,11.6,100,2.5,10.9,10.6,3.6,0.6,2.7,0.3,3.3,11.8,6,17.6,2.4,9.1,3.3,0.9,14.2,100,18.1,9.2,27,3.7,13.9,5.1,1.3,21.7,100,7.2,31.4,30.7,10.5,1.6,7.9,1,9.6,100
ERI,Eritrea,2016,10.7,12.3,8.2,0.1,7.6,19.7,7.7,0.6,0.7,5.3,8.5,3.1,15.4,100,2.7,8.8,11.2,8.2,0.1,5.1,0.2,2.5,17,7.5,0.6,0.7,5.3,8,3.1,19,100,27.7,12.3,0.9,1.2,8.7,13.1,5.1,31,100,7,22.7,28.9,21,0.4,13.2,0.4,6.4,100
EST,Estonia,2016,14.4,13.4,1.4,0,24.7,4.3,0,0,0,0,16.1,2.1,23.6,100,0.8,11.4,12.7,1.4,0,13.9,0,3.7,3.5,0,0,0,0,13.8,2.1,36.6,100,6.3,0,0,0,0,24.6,3.8,65.3,100,1.8,26,28.9,3.2,0,31.6,0,8.5,100
ETH,Ethiopia,2016,14.7,14.9,8.8,0.8,7.5,16.4,8,0.8,0.7,4.6,7.1,2.1,13.6,100,3.8,12.6,14.2,8.8,0.8,5.1,0.4,2.4,12.7,7.6,0.8,0.7,4.6,6.8,2.1,16.7,100,24.4,14.6,1.5,1.3,8.9,13,4,32.2,100,7.8,26.3,29.6,18.3,1.6,10.6,0.8,5,100
FSM,Federated States of Micronesia,2016,19.4,13.4,6.5,0.2,12.8,15,5.9,0,0,0,7,1.4,18.4,100,3,17.6,12.2,6.5,0.2,9,0.2,3.8,12,5.7,0,0,0,6.7,1.4,21.7,100,25.1,12.1,0,0,0,14.1,3,45.7,100,5.7,33.5,23.3,12.3,0.4,17.2,0.3,7.3,100
